DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume
2018-10-14 0:00:00,276.6,282.7,274.4,281.4,6145,6275.5,6095.5,6255,301759,78077,45250,45570,44990,45500,704092,189194
2018-10-15 0:00:00,276.7,278.2,275.65,276.95,6145,6178,6114,6150,299683,50088,44570,44910,43980,44210,698540,447986
2018-10-16 0:00:00,275.85,277.65,274.8,276,6115,6151.5,6091.5,6130,297582,53173,44660,44840,44420,44640,700286,317816
2018-10-17 0:00:00,276.95,279.4,275.35,276.4,6104,6189,6103.85,6126.5,300723,55424,44740,44890,44580,44650,695008,208524
2018-10-18 0:00:00,275.45,277.6,273.85,276.7,s,6148.5,6073.5,6132,303841,48765,44550,45050,44250,45000,725376,384066
2018-10-19 0:00:00,272.55,276,270,275.7,6017,6102.25,5966,6096,310639,55370,44140,44450,43790,44100,746406,403724
2018-10-20 0:00:00,264.4,272.9,258.6,272.15,5860,6034,5774.75,6019.25,308695,86674,43360,43720,42880,43400,786284,404006
2018-10-21 0:00:00,250.55,261.7,242.35,260.9,5548,5790.25,5353.25,5770,310049,161329,42150,42700,41190,42300,791292,408472
2018-10-22 0:00:00,255.8,259.5,251.7,253.5,5630,5724,5555,5562.75,305635,109631,40520,41230,39820,40600,794756,1020638
2018-10-23 0:00:00,261.7,263.4,254.05,258.2,5715,5797.5,5606,5657.25,308561,58164,40800,41470,40330,41080,804088,323734
2018-10-24 0:00:00,,,,,5672,5780,5630,5770,307033,45269,41190,41660,40510,40630,787562,298172
2018-10-25 0:00:00,259.4,263.6,255.5,263.35,5690,5768,5650,5668.5,297968,51958,41170,41450,40860,40970,787024,259190
2018-10-26 0:00:00,261.25,263.35,253.25,259.4,5771,5805,5590,5707.5,302944,60324,41180,41420,40970,41310,797658,236348
2018-10-27 0:00:00,257.85,261.25,255.6,260.75,5665,5760,5640,5753.5,305088,45513,41410,41990,40730,40850,789206,350340
2018-10-28 0:00:00,250.15,258.55,248.9,258.2,5519.5,5704,5502,5692.5,308013,62339,40910,41620,40410,41290,847050,480318
2018-10-29 0:00:00,254.3,255.45,241.9,249.5,5580,5625,5339.5,5500,317357,107444,39660,40540,38860,40420,888248,715356
2018-10-30 0:00:00,246.25,254.35,244.6,254.1,5421,5605,5405,5605,314015,66173,40210,40730,39650,39730,887992,604476
2018-10-31 0:00:00,247.95,250,245.05,246.25,5484,5510,5411,5418.5,312396,53090,39690,40210,39260,40050,894868,687248
